"Item Code","Item Group","Default Unit of Measure","Standard Selling Rate","ID (Barcodes)","Barcode (Barcodes)","Barcode Type (Barcodes)","UOM (Barcodes)","Colour (Variant Attributes)","Attribute Value (Variant Attributes)","Default Warehouse (Item Defaults)"
"ACS-INN-SIN-MGR-XL","Inner Dressess","Size",250.0,"mv5qeb5mkd","4753486416","CODE-39","Size","","Mint Green","Stores - BAE"
"","","","","","","","","","XL - 60",""
"ACS-INN-SIN-MGR-S","Inner Dressess","Size",250.0,"mv6a82p26g","4753486483","CODE-39","Size","","Mint Green","Stores - BAE"
"","","","","","","","","","S - 54",""
"ACS-INN-SIN-MGR-XS","Inner Dressess","Size",250.0,"mv5angnl6c","4753486437","CODE-39","Size","","Mint Green","Stores - BAE"
"","","","","","","","","","XS - 52",""
"ACS-INN-SIN-DGR-XL","Inner Dressess","Size",250.0,"mv6qdn1144","4753485516","CODE-39","Size","","Dark Grey","Stores - BAE"
"","","","","","","","","","XL - 60",""
"ACS-INN-SIN-CRE-L","Inner Dressess","Size",250.0,"mv8g0o4gn8","4753489676","CODE-39","Size","","Creame","Stores - BAE"
"","","","","","","","","","L - 58",""
"ACS-INN-SIN-CRE-M","Inner Dressess","Size",250.0,"mv7gc2jrjb","4753489677","CODE-39","Size","","Creame","Stores - BAE"
"","","","","","","","","","M - 56",""
"ACS-INN-SIN-CRE-S","Inner Dressess","Size",250.0,"mv7l6so5so","4753489683","CODE-39","Size","","Creame","Stores - BAE"
"","","","","","","","","","S - 54",""
"BYA-INN-SIN-PNK-XL","Inner Dressess","Size",250.0,"muu9pps91b","8853483916","CODE-39","Size","","Pink","Stores - BAE"
"","","","","","","","","","XL - 60",""
"BYA-INN-SIN-PNK-L","Inner Dressess","Size",250.0,"muuc68p4ol","8853483976","CODE-39","Size","","Pink","Stores - BAE"
"","","","","","","","","","L - 58",""
"BYA-INL-SIN-BEI-L","Inner Dressess","Size",250.0,"mv16obik1d","8839488476","CODE-39","Size","","Beige","Stores - BAE"
"","","","","","","","","","L - 58",""
"BYA-INL-SIN-BEI-M","Inner Dressess","Size",250.0,"mv07pr5pne","8839488477","CODE-39","Size","","Beige","Stores - BAE"
"","","","","","","","","","M - 56",""
"BYA-INL-SIN-BEI-S","Inner Dressess","Size",250.0,"mv04ecbrrc","8839488483","CODE-39","Size","","Beige","Stores - BAE"
"","","","","","","","","","S - 54",""
"BYA-INL-SIN-BEI-XS","Inner Dressess","Size",250.0,"muvudmctb1","8839488437","CODE-39","Size","","Beige","Stores - BAE"
"","","","","","","","","","XS - 52",""
"ALJ-INN-SIN-PUR-XL","Inner Dressess","Size",250.0,"musmu9uk0e","1153480916","CODE-39","Size","","Purple","Stores - BAE"
"","","","","","","","","","XL - 60",""
"ALJ-INN-SIN-PUR-L","Inner Dressess","Size",250.0,"mutc7i0no9","1153480976","CODE-39","Size","","Purple","Stores - BAE"
"","","","","","","","","","L - 58",""
"ALJ-INN-SIN-PUR-M","Inner Dressess","Size",250.0,"mut9trf2pq","1153480977","CODE-39","Size","","Purple","Stores - BAE"
"","","","","","","","","","M - 56",""
"ALJ-INN-SIN-PUR-S","Inner Dressess","Size",250.0,"mus8vi5lej","1153480983","CODE-39","Size","","Purple","Stores - BAE"
"","","","","","","","","","S - 54",""
"ALJ-INN-SIN-PUR-XS","Inner Dressess","Size",250.0,"murdhe51ut","1153480937","CODE-39","Size","","Purple","Stores - BAE"
"","","","","","","","","","XS - 52",""
"PER-MOO-OUD-OMD-STD","Scented Products","Size",80.0,"n1kbeiso7k","6167108611","CODE-39","Size","","Oud Mood","Stores - BAE"
"","","","","","","","","","Standard",""
"PER-MOO-OUD-USX-STD","Scented Products","Size",80.0,"n1lkcphr7l","6167105011","CODE-39","Size","","Unisex","Stores - BAE"
"","","","","","","","","","Standard",""
"PER-MOO-OUD","Scented Products","Size",80.0,"n1l06kng61","616710","CODE-39","Size","","","Stores - BAE"
"","","","","","","","","","",""
"PER-HAY-OUD-HOD-STD","Scented Products","Size",80.0,"n1o2cv1hms","6190108511","CODE-39","Size","","Hayaati Oud","Stores - BAE"
"","","","","","","","","","Standard",""
"PER-HAY-OUD-USX-STD","Scented Products","Size",80.0,"n1os42hqjp","6190105011","CODE-39","Size","","Unisex","Stores - BAE"
"","","","","","","","","","Standard",""
"PER-HAY-OUD","Scented Products","Size",80.0,"n1p6pfaqct","619010","CODE-39","Size","","","Stores - BAE"
"","","","","","","","","","",""
"PER-RAG-OUD-ROD-STD","Scented Products","Size",80.0,"n1hgievdek","6174109511","CODE-39","Size","","Raghba Oud","Stores - BAE"
"","","","","","","","","","Standard",""
"PER-RAG-OUD-USX-STD","Scented Products","Size",80.0,"n1hegnq72l","6174105011","CODE-39","Size","","Unisex","Stores - BAE"
"","","","","","","","","","Standard",""
"PER-RAG-OUD","Scented Products","Size",80.0,"n1io8r8glp","617410","CODE-39","Size","","","Stores - BAE"
"","","","","","","","","","",""
"PER-DIR-OUD-USX-STD","Scented Products","Size",80.0,"n1s2d4083a","6161105011","CODE-39","Size","","Unisex","Stores - BAE"
"","","","","","","","","","Standard",""
"PER-DIR-OUD-DGO-STD","Scented Products","Size",80.0,"n1rgqsb4tp","6161103411","CODE-39","Size","","Dirham Gold Pocket Oud","Stores - BAE"
