"Item Code","Item Group","Default Unit of Measure","Standard Selling Rate","ID (Barcodes)","Barcode (Barcodes)","Barcode Type (Barcodes)","UOM (Barcodes)","Colour (Variant Attributes)","Attribute Value (Variant Attributes)","Default Warehouse (Item Defaults)"
"SOF-ABA-SIN-GSP-XS","Bayt Affordables","Size",650.0,"nqltlrjtul","1018488037","CODE-39","Size","","Golden Syrup","Stores - BAE"
"","","","","","","","","","XS - 52",""
"SOF-ABA-SIN-ROB-L","Bayt Affordables","Size",650.0,"nqqcqt4omi","1018488176","CODE-39","Size","","Royal Blue","Stores - BAE"
"","","","","","","","","","L - 58",""
"SOF-ABA-SIN-ROB-M","Bayt Affordables","Size",650.0,"nqqlpp6a3t","1018488177","CODE-39","Size","","Royal Blue","Stores - BAE"
"","","","","","","","","","M - 56",""
"SOF-ABA-SIN-ROB-S","Bayt Affordables","Size",650.0,"nqpkqu49hg","1018488183","CODE-39","Size","","Royal Blue","Stores - BAE"
"","","","","","","","","","S - 54",""
"SOF-ABA-SIN-ROB-XS","Bayt Affordables","Size",650.0,"nqk5rm1c40","1018488137","CODE-39","Size","","Royal Blue","Stores - BAE"
"","","","","","","","","","XS - 52",""
"ALM-ABA-SET-BPL-L","Glitz n Glam Abayas","Size",1100.0,"mobg77j76q","3218783876","CODE-39","Size","","Brown with Peace Lace","Stores - BAE"
"","","","","","","","","","L - 58",""
"ALM-ABA-SET-BPL-M","Glitz n Glam Abayas","Size",1100.0,"mob64o2jp8","3218783877","CODE-39","Size","","Brown with Peace Lace","Stores - BAE"
"","","","","","","","","","M - 56",""
"ALM-ABA-SET-BPL-S","Glitz n Glam Abayas","Size",1100.0,"mocdsrmlc8","3218783883","CODE-39","Size","","Brown with Peace Lace","Stores - BAE"
"","","","","","","","","","S - 54",""
"ALM-ABA-SET-PRL-L","Glitz n Glam Abayas","Size",1100.0,"moi6hrjdti","3218785876","CODE-39","Size","","Pink with Red Lace","Stores - BAE"
"","","","","","","","","","L - 58",""
"ALM-ABA-SET-PRL-M","Glitz n Glam Abayas","Size",1100.0,"moi5hd7ehb","3218785877","CODE-39","Size","","Pink with Red Lace","Stores - BAE"
"","","","","","","","","","M - 56",""
"ALM-ABA-SET-PRL-S","Glitz n Glam Abayas","Size",1100.0,"moj3r328j1","3218785883","CODE-39","Size","","Pink with Red Lace","Stores - BAE"
"","","","","","","","","","S - 54",""
"ALM-ABA-SET-BYL-L","Glitz n Glam Abayas","Size",1100.0,"moctfmr66f","3218786576","CODE-39","Size","","Brown with Yellow Lace","Stores - BAE"
"","","","","","","","","","L - 58",""
"ALM-ABA-SET-BYL-M","Glitz n Glam Abayas","Size",1100.0,"modm0l83ni","3218786577","CODE-39","Size","","Brown with Yellow Lace","Stores - BAE"
"","","","","","","","","","M - 56",""
"ALM-ABA-SET-BYL-S","Glitz n Glam Abayas","Size",1100.0,"moeps8c8rv","3218786583","CODE-39","Size","","Brown with Yellow Lace","Stores - BAE"
"","","","","","","","","","S - 54",""
"ALM-ABA-SET-DPL-L","Glitz n Glam Abayas","Size",1100.0,"moe0no1hbm","3218784076","CODE-39","Size","","Duck Egg with Pastel Lace","Stores - BAE"
"","","","","","","","","","L - 58",""
"ALM-ABA-SET-DPL-M","Glitz n Glam Abayas","Size",1100.0,"mofmr1c975","3218784077","CODE-39","Size","","Duck Egg with Pastel Lace","Stores - BAE"
"","","","","","","","","","M - 56",""
"ALM-ABA-SET-DPL-S","Glitz n Glam Abayas","Size",1100.0,"mofu87156b","3218784083","CODE-39","Size","","Duck Egg with Pastel Lace","Stores - BAE"
"","","","","","","","","","S - 54",""
"ALM-ABA-SET-PPL-L","Glitz n Glam Abayas","Size",1100.0,"mogqti5gcc","3218785276","CODE-39","Size","","Pink with Pastel Lace","Stores - BAE"
"","","","","","","","","","L - 58",""
"ALM-ABA-SET-PPL-M","Glitz n Glam Abayas","Size",1100.0,"mohsru4tdl","3218785277","CODE-39","Size","","Pink with Pastel Lace","Stores - BAE"
"","","","","","","","","","M - 56",""
"ALM-ABA-SET-PPL-S","Glitz n Glam Abayas","Size",1100.0,"mohcgoh3k8","3218785283","CODE-39","Size","","Pink with Pastel Lace","Stores - BAE"
"","","","","","","","","","S - 54",""
"AQS-ABA-SET-OAT-XL","Co-Ords Abaya Sets","Size",700.0,"nrc138f868","8918786216","CODE-39","Size","","Oatmeal","Stores - BAE"
"","","","","","","","","","XL - 60",""
"AQS-ABA-SET-OAT-L","Co-Ords Abaya Sets","Size",700.0,"nrsr976aio","8918786276","CODE-39","Size","","Oatmeal","Stores - BAE"
"","","","","","","","","","L - 58",""
"AQS-ABA-SET-OAT-M","Co-Ords Abaya Sets","Size",700.0,"nrr5786479","8918786277","CODE-39","Size","","Oatmeal","Stores - BAE"
"","","","","","","","","","M - 56",""
"AQS-ABA-SET-OAT-S","Co-Ords Abaya Sets","Size",700.0,"nrruafnneo","8918786283","CODE-39","Size","","Oatmeal","Stores - BAE"
"","","","","","","","","","S - 54",""
"AQS-ABA-SET-OAT-XS","Co-Ords Abaya Sets","Size",700.0,"q079bvtq0j","AQSABASETOATXS","CODE-39","Size","","Oatmeal","Stores - BAE"
"","","","","","","","","","XS - 52",""
"AQS-ABA-SET-SAG-XL","Co-Ords Abaya Sets","Size",700.0,"nra94htj61","8918787516","CODE-39","Size","","Sage","Stores - BAE"
"","","","","","","","","","XL - 60",""
"AQS-ABA-SET-SAG-L","Co-Ords Abaya Sets","Size",700.0,"nro96n1gnt","8918787576","CODE-39","Size","","Sage","Stores - BAE"
"","","","","","","","","","L - 58",""
"AQS-ABA-SET-SAG-M","Co-Ords Abaya Sets","Size",700.0,"nroeulep9d","8918787577","CODE-39","Size","","Sage","Stores - BAE"
"","","","","","","","","","M - 56",""
"AQS-ABA-SET-SAG-S","Co-Ords Abaya Sets","Size",700.0,"nrn6dk08g6","8918787583","CODE-39","Size","","Sage","Stores - BAE"
"","","","","","","","","","S - 54",""
"AQS-ABA-SET-SAG-XS","Co-Ords Abaya Sets","Size",700.0,"nr90t478os","8918787537","CODE-39","Size","","Sage","Stores - BAE"
"","","","","","","","","","XS - 52",""
"AQS-ABA-SET-RPK-XL","Co-Ords Abaya Sets","Size",700.0,"nrb6tkuk32","8918784716","CODE-39","Size","","Rose Pink","Stores - BAE"
"","","","","","","","","","XL - 60",""
"AQS-ABA-SET-RPK-L","Co-Ords Abaya Sets","Size",700.0,"nrqogverj3","8918784776","CODE-39","Size","","Rose Pink","Stores - BAE"
"","","","","","","","","","L - 58",""
"AQS-ABA-SET-RPK-M","Co-Ords Abaya Sets","Size",700.0,"nrpdv935b3","8918784777","CODE-39","Size","","Rose Pink","Stores - BAE"
"","","","","","","","","","M - 56",""
"AQS-ABA-SET-RPK-S","Co-Ords Abaya Sets","Size",700.0,"nrpkl2kre7","8918784783","CODE-39","Size","","Rose Pink","Stores - BAE"
"","","","","","","","","","S - 54",""
"AQS-ABA-SET-RPK-XS","Co-Ords Abaya Sets","Size",700.0,"nra43o5234","8918784737","CODE-39","Size","","Rose Pink","Stores - BAE"
"","","","","","","","","","XS - 52",""
"AQS-ABA-SET-BLK-XL","Co-Ords Abaya Sets","Size",700.0,"nrd66ujq02","8918781916","CODE-39","Size","","Black","Stores - BAE"
"","","","","","","","","","XL - 60",""
"AQS-ABA-SET-BLK-L","Co-Ords Abaya Sets","Size",700.0,"nrt2e5e3m5","8918781976","CODE-39","Size","","Black","Stores - BAE"
"","","","","","","","","","L - 58",""
"AQS-ABA-SET-BLK-M","Co-Ords Abaya Sets","Size",700.0,"nrtivk7ori","8918781977","CODE-39","Size","","Black","Stores - BAE"
"","","","","","","","","","M - 56",""
"AQS-ABA-SET-BLK-S","Co-Ords Abaya Sets","Size",700.0,"nrsisas9ma","8918781983","CODE-39","Size","","Black","Stores - BAE"
"","","","","","","","","","S - 54",""
"AQS-ABA-SET-BLK-XS","Co-Ords Abaya Sets","Size",700.0,"nrcvo4aoh9","8918781937","CODE-39","Size","","Black","Stores - BAE"
"","","","","","","","","","XS - 52",""
"ALM-CAP-SIN","Exclusive Abayas","Size",2250.0,"mk1sd2m1cl","322248","CODE-39","Size","","","Stores - BAE"
"","","","","","","","","","",""
"HAN-JAC-SIN-STA-L","Exclusive Abayas","Size",1895.0,"mp7m8m5adp","1338489076","CODE-39","Size","","Standard","Stores - BAE"
"","","","","","","","","","L - 58",""
"HAN-JAC-SIN-STA-M","Exclusive Abayas","Size",1895.0,"mp7ohh0j3g","1338489077","CODE-39","Size","","Standard","Stores - BAE"
"","","","","","","","","","M - 56",""
"HAN-JAC-SIN-STA-S","Exclusive Abayas","Size",1895.0,"mp8425rngu","1338489083","CODE-39","Size","","Standard","Stores - BAE"
"","","","","","","","","","S - 54",""
"HAN-JAC-SIN","Exclusive Abayas","Size",1895.0,"mp8toe43hu","133848","CODE-39","Size","","","Stores - BAE"
"","","","","","","","","","",""
"JAN-ABA-SET-STA-L","Aswad Premium Collection","Size",2200.0,"n3c8c51el9","1518789076","CODE-39","Size","","Standard","Stores - BAE"
"","","","","","","","","","L - 58",""
"JAN-ABA-SET-STA-M","Aswad Premium Collection","Size",2200.0,"n3cl9g5kor","1518789077","CODE-39","Size","","Standard","Stores - BAE"
"","","","","","","","","","M - 56",""
"JAN-ABA-SET-STA-S","Aswad Premium Collection","Size",2200.0,"n3dc401c0i","1518789083","CODE-39","Size","","Standard","Stores - BAE"
"","","","","","","","","","S - 54",""
"JAN-ABA-SET","Aswad Premium Collection","Size",2200.0,"n3dcclgmf7","151878","CODE-39","Size","","","Stores - BAE"
"","","","","","","","","","",""
"YAA-FAR-SIN-BLU-L","Glitz n Glam Abayas","Size",1250.0,"mmgub8qau7","3939488976","CODE-39","Size","","Blue","Stores - BAE"
"","","","","","","","","","L - 58",""
"YAA-FAR-SIN-BLK-L","Glitz n Glam Abayas","Size",1250.0,"mmf1jo5mo3","3939481976","CODE-39","Size","","Black","Stores - BAE"
"","","","","","","","","","L - 58",""
"YAA-FAR-SIN-BLU-M","Glitz n Glam Abayas","Size",1250.0,"mmh3oahcjc","3939488977","CODE-39","Size","","Blue","Stores - BAE"
"","","","","","","","","","M - 56",""
"YAA-FAR-SIN-BLK-M","Glitz n Glam Abayas","Size",1250.0,"mmfu761o0t","3939481977","CODE-39","Size","","Black","Stores - BAE"
"","","","","","","","","","M - 56",""
"YAA-FAR-SIN-BLU-S","Glitz n Glam Abayas","Size",1250.0,"mmhum7acbs","3939488983","CODE-39","Size","","Blue","Stores - BAE"
"","","","","","","","","","S - 54",""
"YAA-FAR-SIN-BLK-S","Glitz n Glam Abayas","Size",1250.0,"mmgr2tdaoh","3939481983","CODE-39","Size","","Black","Stores - BAE"
"","","","","","","","","","S - 54",""
"YAA-FAR-SIN","Glitz n Glam Abayas","Size",1250.0,"mmi2kh7khq","393948","CODE-39","Size","","","Stores - BAE"
"","","","","","","","","","",""
"SAN-ABA-SET-STA-L","Glitz n Glam Abayas","Size",1250.0,"n2vq8jhm26","2418789076","CODE-39","Size","","Standard","Stores - BAE"
"","","","","","","","","","L - 58",""
"SAN-ABA-SET-STA-M","Glitz n Glam Abayas","Size",1250.0,"n2vt4idp7i","2418789077","CODE-39","Size","","Standard","Stores - BAE"
"","","","","","","","","","M - 56",""
"SAN-ABA-SET-STA-S","Glitz n Glam Abayas","Size",1250.0,"n30eda9fkr","2418789083","CODE-39","Size","","Standard","Stores - BAE"
"","","","","","","","","","S - 54",""
"SAN-ABA-SET","Glitz n Glam Abayas","Size",1250.0,"n304uumbbt","241878","CODE-39","Size","","","Stores - BAE"
"","","","","","","","","","",""
"BYA-SCE-HAN-BST-STD","Scented Products","Size",30.0,"mkail4jdqd","8867130311","CODE-39","Size","","Bakhoor Scent","Stores - BAE"
"","","","","","","","","","Standard",""
"BYA-SCE-HAN-MSC-STD","Scented Products","Size",30.0,"mkbavmndjj","8867139511","CODE-39","Size","","Musk Scent","Stores - BAE"
"","","","","","","","","","Standard",""
"BYA-SCE-HAN","Scented Products","Size",30.0,"mup1ngs3a3","886713","CODE-39","Size","","","Stores - BAE"
"","","","","","","","","","",""
"BAK-SHA-SIN-SAO-STD","Bakhoor & Incense","Size",150.0,"miq7ou2q19","8654483111","CODE-39","Size","","Shaghaf Al Oud","Stores - BAE"
"","","","","","","","","","Standard",""
"BAK-SHA-SIN","Bakhoor & Incense","Size",150.0,"mirhmkl8kr","865448","CODE-39","Size","","","Stores - BAE"
"","","","","","","","","","",""
"BAK-MAJ-SIN-MAO-STD","Bakhoor & Incense","Size",150.0,"minpt9amff","8690482511","CODE-39","Size","","Majid Al Oud","Stores - BAE"
"","","","","","","","","","Standard",""
"BAK-MAJ-SIN","Bakhoor & Incense","Size",150.0,"mipha1fe9m","869048","CODE-39","Size","","","Stores - BAE"
"","","","","","","","","","",""
"BLA-GLO-SIN","Undercap Sleeves Gloves","Size",50.0,"npc0nc3vg3","495248","CODE-39","Size","","","Durban Store - BAE"
"BAY-UND-SIN-PPK-STD","Undercap Sleeves Gloves","Size",50.0,"mui7hfs30u","8495484511","CODE-39","Size","","Peachy Pink","Stores - BAE"
"","","","","","","","","","Standard",""
"BAY-UND-SIN-DEG-STD","Undercap Sleeves Gloves","Size",50.0,"mujhjti4as","8495487211","CODE-39","Size","","Duck Egg","Stores - BAE"
"","","","","","","","","","Standard",""
"BAY-UND-SIN-BLU-STD","Undercap Sleeves Gloves","Size",50.0,"mukq3hgdqu","8495488911","CODE-39","Size","","Blue","Stores - BAE"
"","","","","","","","","","Standard",""
"BAY-UND-SIN-PNK-STD","Undercap Sleeves Gloves","Size",50.0,"muji06vtk8","8495483911","CODE-39","Size","","Pink","Stores - BAE"
"","","","","","","","","","Standard",""
"BAY-UND-SIN","Undercap Sleeves Gloves","Size",50.0,"muk7aalv66","849548","CODE-39","Size","","","Stores - BAE"
"","","","","","","","","","",""
"ALK-PRE-COL-STC-STD","Men’s  Emirati Thobes/ Kanduras","Size",1200.0,"n48ijbu6kh","1809360411","CODE-39","Size","","Stone And Creame","Stores - BAE"
"","","","","","","","","","Standard",""
"ALK-PRE-COL-SKB-STD","Men’s  Emirati Thobes/ Kanduras","Size",1200.0,"n49epoonqp","1809367011","CODE-39","Size","","Sky Blue","Stores - BAE"
"","","","","","","","","","Standard",""
"ALK-PRE-COL-BEI-STD","Men’s  Emirati Thobes/ Kanduras","Size",1200.0,"n492emav0h","1809368411","CODE-39","Size","","Beige","Stores - BAE"
"","","","","","","","","","Standard",""
"ALK-PRE-COL-WHT-STD","Men’s  Emirati Thobes/ Kanduras","Size",1200.0,"n482n4et5f","1809369111","CODE-39","Size","","White","Stores - BAE"
"","","","","","","","","","Standard",""
"ALK-PRE-COL","Men’s  Emirati Thobes/ Kanduras","Size",0.0,"n4a7km49tt","180936","CODE-39","Size","","","Stores - BAE"
"","","","","","","","","","",""
"ALF-GEN-COL-TEA-STD","Mens","Size",1000.0,"n3vkcs595b","8324364611","CODE-39","Size","","Teal","Stores - BAE"
"","","","","","","","","","Standard",""
"ALF-GEN-COL-STG-STD","Mens","Size",1000.0,"n40thrpmo7","8324363211","CODE-39","Size","","Steel Grey","Stores - BAE"
"","","","","","","","","","Standard",""
"ALF-GEN-COL-OLI-STD","Mens","Size",1000.0,"n40pi1uddb","8324361811","CODE-39","Size","","Olive","Stores - BAE"
"","","","","","","","","","Standard",""
"ALF-GEN-COL-DTE-STD","Mens","Size",1000.0,"n41t216bn4","8324360311","CODE-39","Size","","Dark Teal","Stores - BAE"
"","","","","","","","","","Standard",""
"ALF-GEN-COL-DGR-STD","Mens","Size",1000.0,"n427togtlg","8324365511","CODE-39","Size","","Dark Grey","Stores - BAE"
"","","","","","","","","","Standard",""
"ALF-GEN-COL-GRA-STD","Mens","Size",1000.0,"n41i6q58kg","8324367211","CODE-39","Size","","Grey","Stores - BAE"
"","","","","","","","","","Standard",""
"ALF-GEN-COL","Mens","Size",0.0,"n420c1h922","832436","CODE-39","Size","","","Stores - BAE"
"","","","","","","","","","",""
"FIR-UND-SIN-NAV-STD","Undercap Sleeves Gloves","Size",100.0,"mua40ppj0k","6395487511","CODE-39","Size","","Navy","Stores - BAE"
"","","","","","","","","","Standard",""
"FIR-UND-SIN-WHT-STD","Undercap Sleeves Gloves","Size",100.0,"mubgg2bbbe","6395489111","CODE-39","Size","","White","Stores - BAE"
"","","","","","","","","","Standard",""
"FIR-UND-SIN-CRE-STD","Undercap Sleeves Gloves","Size",100.0,"mua5vacv60","6395489611","CODE-39","Size","","Creame","Stores - BAE"
"","","","","","","","","","Standard",""
"FIR-UND-SIN-NUD-STD","Undercap Sleeves Gloves","Size",100.0,"mubpn87o5u","6395480911","CODE-39","Size","","Nude","Stores - BAE"
"","","","","","","","","","Standard",""
"FIR-UND-SIN","Undercap Sleeves Gloves","Size",100.0,"muc5iqrqer","639548","CODE-39","Size","","","Stores - BAE"
"","","","","","","","","","",""
"HEN-PER-EYE-DBR-STD","Beauty Products","Size",70.0,"mkagkaqpb3","2561194011","CODE-39","Size","","Dark Brown","Stores - BAE"
"","","","","","","","","","Standard",""
"HEN-PER-EYE","Beauty Products","Size",70.0,"mugqu0alt9","256119","CODE-39","Size","","","Stores - BAE"
"","","","","","","","","","",""
"FIR-ABA-SIN-DEB-KFS","Bayt Girls Collections","Size",600.0,"n2fh59qsfl","6318483766","CODE-39","Size","","Denim Blue","Stores - BAE"
"","","","","","","","","","46K",""
"FIR-ABA-SIN-DEB-KFF","Bayt Girls Collections","Size",600.0,"n2f1ni64nb","6318483775","CODE-39","Size","","Denim Blue","Stores - BAE"
"","","","","","","","","","44K",""
"FIR-ABA-SIN-DEB-KFT","Bayt Girls Collections","Size",600.0,"n2eufn65hc","6318483773","CODE-39","Size","","Denim Blue","Stores - BAE"
"","","","","","","","","","42K",""
"FIR-ABA-SIN-DEB-KFY","Bayt Girls Collections","Size",600.0,"","","","","","Denim Blue","Stores - BAE"
"","","","","","","","","","40K",""
"FIR-ABA-SIN-DEB-KTE","Bayt Girls Collections","Size",600.0,"n2eh8cs9mc","6318483710","CODE-39","Size","","Denim Blue","Stores - BAE"
"","","","","","","","","","38K",""
"FIR-ABA-SIN-DEB-KTS","Bayt Girls Collections","Size",600.0,"n2dihespcn","6318483708","CODE-39","Size","","Denim Blue","Stores - BAE"
"","","","","","","","","","36K",""
"FIR-ABA-SIN-DEB-KTF","Bayt Girls Collections","Size",600.0,"n2d7mjsfgv","6318483717","CODE-39","Size","","Denim Blue","Stores - BAE"
"","","","","","","","","","34K",""
"FIR-ABA-SIN-DEB-KTT","Bayt Girls Collections","Size",600.0,"n2c3gv8bsm","6318483715","CODE-39","Size","","Denim Blue","Stores - BAE"
"","","","","","","","","","32K",""
"FIR-ABA-SIN-DEB-KTY","Bayt Girls Collections","Size",600.0,"n2c3adrtde","6318483750","CODE-39","Size","","Denim Blue","Stores - BAE"
"","","","","","","","","","30K",""
"FIR-ABA-SIN","Bayt Girls Collections","Size",600.0,"","","","","","","Stores - BAE"
"","","","","","","","","","",""
"VID-ABA-SIN-BEI-KFS","Bayt Girls Collections","Size",600.0,"n2031m4nv9","8118488466","CODE-39","Size","","Beige","Stores - BAE"
"","","","","","","","","","46K",""
"VID-ABA-SIN-BEI-KFF","Bayt Girls Collections","Size",600.0,"n1vhajac9n","8118488475","CODE-39","Size","","Beige","Stores - BAE"
"","","","","","","","","","44K",""
"VID-ABA-SIN-BEI-KFT","Bayt Girls Collections","Size",600.0,"n203lq73kc","8118488473","CODE-39","Size","","Beige","Stores - BAE"
"","","","","","","","","","42K",""
"VID-ABA-SIN-BEI-KFY","Bayt Girls Collections","Size",600.0,"n214fcpneo","8118488408","CODE-39","Size","","Beige","Stores - BAE"
"","","","","","","","","","40K",""
"VID-ABA-SIN-BEI-KTE","Bayt Girls Collections","Size",600.0,"n21vamc5h8","8118488410","CODE-39","Size","","Beige","Stores - BAE"
"","","","","","","","","","38K",""
"VID-ABA-SIN-BEI-KTS","Bayt Girls Collections","Size",600.0,"","","","","","Beige","Stores - BAE"
"","","","","","","","","","36K",""
"VID-ABA-SIN-BEI-KTF","Bayt Girls Collections","Size",600.0,"n212nokoef","8118488417","CODE-39","Size","","Beige","Stores - BAE"
"","","","","","","","","","34K",""
"VID-ABA-SIN-BEI-KTT","Bayt Girls Collections","Size",600.0,"n22hi31g56","8118488415","CODE-39","Size","","Beige","Stores - BAE"
"","","","","","","","","","32K",""
"VID-ABA-SIN-BEI-KTY","Bayt Girls Collections","Size",600.0,"n2331ad8t0","8118488450","CODE-39","Size","","Beige","Stores - BAE"
"","","","","","","","","","30K",""
"VID-ABA-SIN","Bayt Girls Collections","Size",600.0,"","","","","","","Stores - BAE"
"","","","","","","","","","",""
"QUR-ABA-SIN-STB-KFS","Bayt Girls Collections","Size",600.0,"n266iuos1i","1018489766","CODE-39","Size","","Steel Blue","Stores - BAE"
"","","","","","","","","","46K",""
"QUR-ABA-SIN-STB-KFF","Bayt Girls Collections","Size",600.0,"n273hfhq6h","1018489775","CODE-39","Size","","Steel Blue","Stores - BAE"
"","","","","","","","","","44K",""
"QUR-ABA-SIN-STB-KFT","Bayt Girls Collections","Size",600.0,"n26pbu0ds9","1018489773","CODE-39","Size","","Steel Blue","Stores - BAE"
"","","","","","","","","","42K",""
"QUR-ABA-SIN-STB-KFY","Bayt Girls Collections","Size",600.0,"","","","","","Steel Blue","Stores - BAE"
"","","","","","","","","","40K",""
"QUR-ABA-SIN-STB-KTE","Bayt Girls Collections","Size",600.0,"n25n3bkds1","1018489710","CODE-39","Size","","Steel Blue","Stores - BAE"
"","","","","","","","","","38K",""
"QUR-ABA-SIN-STB-KTS","Bayt Girls Collections","Size",600.0,"n24m0cqaml","1018489708","CODE-39","Size","","Steel Blue","Stores - BAE"
"","","","","","","","","","36K",""
"QUR-ABA-SIN-STB-KTF","Bayt Girls Collections","Size",600.0,"n25tkjf6i7","1018489717","CODE-39","Size","","Steel Blue","Stores - BAE"
"","","","","","","","","","34K",""
"QUR-ABA-SIN-STB-KTT","Bayt Girls Collections","Size",600.0,"n24dm5fuq8","1018489715","CODE-39","Size","","Steel Blue","Stores - BAE"
"","","","","","","","","","32K",""
"QUR-ABA-SIN-STB-KTY","Bayt Girls Collections","Size",600.0,"n23npl3s72","1018489750","CODE-39","Size","","Steel Blue","Stores - BAE"
"","","","","","","","","","30K",""
"QUR-ABA-SIN","Bayt Girls Collections","Size",600.0,"","","","","","","Stores - BAE"
"","","","","","","","","","",""
"ZEE-ABA-SET","Bayt Girls Collections","Size",0.0,"","","","","","","Stores - BAE"
"","","","","","","","","","",""
"AMI-ABA-SIN-NSI-FSX","Bayt Girls Collections","Size",600.0,"n2lqdfsotd","0718483835","CODE-39","Size","","Nude With Silver","Stores - BAE"
"","","","","","","","","","46in",""
"AMI-ABA-SIN-NSI-FFR","Bayt Girls Collections","Size",600.0,"n2ki7g9jt5","0718483854","CODE-39","Size","","Nude With Silver","Stores - BAE"
"","","","","","","","","","44in",""
"AMI-ABA-SIN-NSI-FTW","Bayt Girls Collections","Size",600.0,"n2la234g2b","0718483831","CODE-39","Size","","Nude With Silver","Stores - BAE"
"","","","","","","","","","42in",""
"AMI-ABA-SIN-NSI-FRT","Bayt Girls Collections","Size",600.0,"n2k11fl9e6","0718483804","CODE-39","Size","","Nude With Silver","Stores - BAE"
"","","","","","","","","","40in",""
"AMI-ABA-SIN-NSI-TET","Bayt Girls Collections","Size",600.0,"n2mu608rch","0718483879","CODE-39","Size","","Nude With Silver","Stores - BAE"
"","","","","","","","","","38in",""
"AMI-ABA-SIN-NSI-TSX","Bayt Girls Collections","Size",600.0,"n2nn579eob","0718483849","CODE-39","Size","","Nude With Silver","Stores - BAE"
"","","","","","","","","","36in",""
"AMI-ABA-SIN-NSI-TFR","Bayt Girls Collections","Size",600.0,"n2mv1e4pvh","0718483868","CODE-39","Size","","Nude With Silver","Stores - BAE"
"","","","","","","","","","34in",""
"AMI-ABA-SIN","Bayt Girls Collections","Size",600.0,"n2ntssh11u","071848","CODE-39","Size","","","Stores - BAE"
"","","","","","","","","","",""
"TEX-HIJ-SIN-PPK-MEA","Premium Chiffon","Size",120.0,"mv9156q416","0709484539","CODE-39","Size","","Peachy Pink","Stores - BAE"
"","","","","","","","","","70 X 200",""
"TEX-HIJ-SIN-PNK-MEA","Premium Chiffon","Size",120.0,"mv8mv28drg","0709483939","CODE-39","Size","","Pink","Stores - BAE"
"","","","","","","","","","70 X 200",""
"TEX-HIJ-SIN","Premium Chiffon","Size",120.0,"mv9full3u1","070948","CODE-39","Size","","","Stores - BAE"
"","","","","","","","","","",""
"GEO-HIJ-SIN-OAT-MEA","Premium Chiffon","Size",120.0,"mvr7r5ll69","3109486239","CODE-39","Size","","Oatmeal","Stores - BAE"
"","","","","","","","","","70 X 200",""
"GEO-HIJ-SIN","Premium Chiffon","Size",120.0,"mvs4nc4601","310948","CODE-39","Size","","","Stores - BAE"
"","","","","","","","","","",""
"PRE-HIJ-SIN-LBL-MEA","Premium Chiffon","Size",120.0,"mvhufupnos","0909480639","CODE-39","Size","","Light Blue","Stores - BAE"
"","","","","","","","","","70 X 200",""
"PRE-HIJ-SIN-BRO-MEA","Premium Chiffon","Size",120.0,"mvgeu1hr5u","0909486539","CODE-39","Size","","Brown","Stores - BAE"
"","","","","","","","","","70 X 200",""
"PRE-HIJ-SIN-BEI-MEA","Premium Chiffon","Size",120.0,"mvf5hqrt2t","0909488439","CODE-39","Size","","Beige","Stores - BAE"
"","","","","","","","","","70 X 200",""
"PRE-HIJ-SIN-BLU-MEA","Premium Chiffon","Size",120.0,"mvgr44j7o0","0909488939","CODE-39","Size","","Blue","Stores - BAE"
"","","","","","","","","","70 X 200",""
"PRE-HIJ-SIN-GRA-MEA","Premium Chiffon","Size",120.0,"mvhkm4eaqf","0909487239","CODE-39","Size","","Grey","Stores - BAE"
"","","","","","","","","","70 X 200",""
"PRE-HIJ-SIN-NUD-MEA","Premium Chiffon","Size",120.0,"mvi65326i6","0909480939","CODE-39","Size","","Nude","Stores - BAE"
"","","","","","","","","","70 X 200",""
"PRE-HIJ-SIN-BLK-MEA","Premium Chiffon","Size",120.0,"mvfgrenbea","0909481939","CODE-39","Size","","Black","Stores - BAE"
"","","","","","","","","","70 X 200",""
"PRE-HIJ-SIN-PNK-MEA","Premium Chiffon","Size",120.0,"mvi73q4rjj","0909483939","CODE-39","Size","","Pink","Stores - BAE"
"","","","","","","","","","70 X 200",""
"PRE-HIJ-SIN","Premium Chiffon","Size",120.0,"mvjevcem7r","090948","CODE-39","Size","","","Stores - BAE"
"","","","","","","","","","",""
"CRY-HIJ-SIN-BRO-MEA","Premium Chiffon","Size",120.0,"mvttfk6jir","3609486539","CODE-39","Size","","Brown","Stores - BAE"
"","","","","","","","","","70 X 200",""
"CRY-HIJ-SIN-BLU-MEA","Premium Chiffon","Size",120.0,"mvusrprrjr","3609488939","CODE-39","Size","","Blue","Stores - BAE"
"","","","","","","","","","70 X 200",""
"CRY-HIJ-SIN-GRA-MEA","Premium Chiffon","Size",120.0,"mvtuanqtef","3609487239","CODE-39","Size","","Grey","Stores - BAE"
"","","","","","","","","","70 X 200",""
"CRY-HIJ-SIN","Premium Chiffon","Size",120.0,"mvuc9k089a","360948","CODE-39","Size","","","Stores - BAE"
"","","","","","","","","","",""
"MED-HIJ-SIN-BEI-MEA","Medina Crepe","Size",220.0,"n3jerqpnbg","6009488439","CODE-39","Size","","Beige","Stores - BAE"
"","","","","","","","","","70 X 200",""
"MED-HIJ-SIN","Medina Crepe","Size",0.0,"n3kftve292","600948","CODE-39","Size","","","Stores - BAE"
"","","","","","","","","","",""
"EMB-HIJ-SIN-CRE-MEA","Embroidery","Size",300.0,"n4egn2u1mm","6209489639","CODE-39","Size","","Creame","Stores - BAE"
